usda_code,edible_share.fromPhytateSource,inedible_share.fromPhytate,phytate_mg,phytate_source
02024,100,,2128,Wessells Plosone2012
02033,100,,2159,Wessells Plosone2012
09003,90,Core and stem ,63,Wessells Plosone2012
09021,93,7 (pits),0,Wessells Plosone2012
09033,100,,0,Wessells Plosone2012
09037,74,26% Refuse Description: Seed and skin ,141,Wessells Plosone2012
09040,64,,3,Wessells Plosone2012
09050,95,Stems and green or spoiled berries ,3,Wessells Plosone2012
09063,90,10% Refuse Description: Pits and stems ,0,Wessells Plosone2012
09070,92,8% Refuse Description: Pits and stems ,0,Wessells Plosone2012
09078,92,2% Refuse Description: Stems and spoiled berries ,2,Wessells Plosone2012
09084,98,2% Refuse Description: Stems ,2,calculated from Wessells 12 mg/283 kcal
09089,99,1% Refuse Description: Stems ,30,Wessells Plosone2012
09094,96,4% Refuse Description: Stems ,101,calculated from Wessells 30mg/74 kcal
09107,100,,7,Wessells Plosone2012
09111,50,50% Refuse Description: Peel,0,Wessells Plosone2012
09132,96,4% Refuse Description: Stems ,7,Wessells Plosone2012
09139,78,22% Refuse Description: Skin ,26,Wessells Plosone2012
09148,76,24% Refuse Description: Skin ,7,Wessells Plosone2012
09150,53,47% Refuse Description: 45% peel 2% seeds ,0,Wessells Plosone2012
09159,84,16% Refuse Description: Peel and seeds ,0,Wessells Plosone2012
09181,51,49% Refuse Description: 9% cavity contents  1% cutting loss 39% rind ,46,Wessells Plosone2012
09193,80,"refuse = 20% seed, from Australian AUSNUT/NUTTAB documention",0,Wessells Plosone2012
09200,73,27% Refuse Description: Peel and seeds ,3,Wessells Plosone2012
09218,74,26% Refuse Description: Peel and seeds ,50,Wessells Plosone2012
09226,62,38% Refuse Description: Seeds and skin ,26,Wessells Plosone2012
09236,96,4% Refuse Description: Pit ,0,Wessells Plosone2012
09252,90,10% Refuse Description: Stem,0,Wessells Plosone2012
09265,82,18% Refuse Description: 2% calyx  16% seeds ,0,(unavailable)
09266,51,49% Refuse Description: 8% core 16% crown 26% parings ,0,Wessells Plosone2012
09277,65,,8,Wessells Plosone2012
09279,94,6% Refuse Description: Pits ,0,Wessells Plosone2012
09291,87,13% Refuse Description: Pits ,0,Wessells Plosone2012
09296,61,39% Refuse Description: Core,0,Wessells Plosone2012
09298,100,,31,calculated from Wessells 7.2 mg/69 kcal
09302,96,4% Refuse Description: Caps,7,Wessells Plosone2012
09316,94,6% Refuse Description: Caps and stems ,11,Wessells Plosone2012
09326,52,48% Refuse Description: Rind,3,Wessells Plosone2012
09421,92,8% Refuse Description: Pits ,188,Wessells Plosone2012
11043,100,,60,"calculated from Wessells, 209 mg/105 kcal"
11134,84,,58,Wessells Plosone2012
11304,38,62% Refuse Description: Pods and inedible peas ,189,"calculated from Wessells, 860 mg/369 kcal"
11352,75,,19,calculated from Wessells 21 mg/86 kcal
11507,72,,44,calculated from Wessells 39 mg/76 kcal
11518,100,,91,calculated from Wessells 116 mg/142 kcal
11601,86,,5,calculated from Wessells 3 mg/76 kcal
11973,97,3% Refuse Description: Ends ,303,"calculated from Wessells, 379 mg/110 kcal"
12012,100,,1728,Wessells Plosone2012
12021,51,49% Refuse Description: Hulls ,2052,unavailable- used sunflower
12023,100,,1372,Wessells Plosone2012
12036,54,46% Refuse Description: Hulls ,2052,Wessells Plosone2012
12061,40, 60% Refuse Description: Shells ,943,Wessells Plosone2012
12078,51,49% Refuse Description: Shells ,190,Wessells Plosone2012
12087,25,"refuse = 75% shell, from FAO documention",499,Wessells Plosone2012
12097,74,26% Refuse Description: Shells ,88,Wessells Plosone2012
12104,52,48% Refuse Description: Shells (brown) skin water ,620,Wessells Plosone2012
12120,41,59% Refuse Description: Shells ,230,Wessells Plosone2012
12151,53,47% Refuse Description: Shells ,290,Wessells Plosone2012
12155,45,55% Refuse Description: Shells ,230,Wessells Plosone2012
12160,100,,2128,Wessells Plosone2012
14214,38,,2471,calculated from Wessells 7 mg/1 kcal
14355,67,,97,Wessells Plosone2012
16001,100,,1244,"calculated from Wessells, 484 mg/128 kcal"
16014,100,,1041,"calculated from Wessells, 403 mg/132 kcal"
16024,100,,646,"calculated from Wessells, 225 mg/118 kcal"
16027,100,,522,"calculated from Wessells, 199 mg/127 kcal"
16037,100,,506,"calculated from Wessells, 201 mg/140 kcal"
16042,100,,482,"calculated from Wessells, 199 mg/143 kcal"
16056,100,,313,calculated from Wessells 136mg/134kcal
16060,100,,3223,calculated from Wessells 1090 mg/116 kcal
16069,100,,430,calculated from Wessells 142 mg/116 kcal
16071,100,,414,"calculated from Wessells, 141 mg/115 kcal"
16076,100,,770,"IML Egypt, 160920"
16087,73,"refuse = 27% shell, from Australian AUSNUT/NUTTAB documention",1314,Wessells Plosone2012
16101,100,,343,calculated from Wessells 182 mg/121 kcal
16108,100,,1485,calculated from Wessells 576 mg/173 kcal
19165,100,,1901,Wessells Plosone2012
20004,100,,697,Wessells Plosone2012
20008,100,,1957,Wessells Plosone2012
20020,77,,835,Wessells Plosone2012
20031,100,,682,Wessells Plosone2012
20035,100,,1180,Wessells Plosone2012
20038,100,,725,Wessells Plosone2012
20062,100,,894,Wessells Plosone2012
20067,100,,790,calculated from Wessells 900 mg/375 kcal
20069,100,,603,Wessells Plosone2012
20072,100,,530,"calculated from Wessells assume 1/2 refined, 1/2 whole"
20444,100,,226,Wessells Plosone2012
