reqTypeName,description
dt.bioavail_iron,"Includes the iron bioavailabiity ratio by scenario, country, and year"
dt.bioavail_zinc,"Includes the zinc bioavailabiity ratio by scenario, country, and year"
dt.budgetShare,Share of cost of IMPACT commodities in per capita income
dt.compDI,Composite disqualifying index
dt.compQI,composite qualifying index
dt.energy_ratios,
dt.foodAvail.foodGroup,
dt.indexDisqual,"Disqualifying index by food, by scenario, country, and year"
dt.indexQual,"Qualifying index by food, by scenario, country, and year"
dt.metadata,IMPACT meta data
dt.MFAD,Modified Functional Attribute Diversity metric
dt.nonStapleKcalShare,
dt.nutBal.commods,"nutrient balance score for each food item by scenario, country, and year"
dt.nutBalScore,"Nutrient balance score by scenario, country, and year"
dt.nutrients.nonstapleShare,"Nonstaple share of nutrients by scenario, country, and year"
dt.nutrients.sum.all,
dt.nutrients.sum.staples,
dt.RAOqe,Rao's quadratic entropy metric
dt.shannonDiversity,Shannon diversity results
food_agg_AMDR.hi,
food_agg_AMDR.lo,
food_agg_EAR,
food_agg_RDA.macro,
food_agg_RDA.minrls,
food_agg_RDA.vits,
food_agg_UL.minrls,
food_agg_UL.vits,
RDA.macro_all_ratio,Share of macronutrient availability by food item
RDA.macro_all_reqRatio,Share of macronutrient RDA by food item
RDA.macro_all_sum,Availability of macronutrients
RDA.macro_FGratio,Share of macronutrients by food group
RDA.macro_FG_reqRatio,Share of macronutrients RDA by food group
RDA.macro_staples_ratio,Share of macronutrients from staples
RDA.macro_staples_reqRatio,Share of macronutrients RDA by staple
RDA.macro_staples_sum,Total Availability of macronutrients by staple
RDA.macro_sum_reqRatio,Share of macronutrient availability to RDA
RDA.minrls_all_ratio,Share of mineral nutrient availability by food item
RDA.minrls_all_reqRatio,Share of mineral nutrient RDA by food item
RDA.minrls_all_sum,Availability of mineral nutrients by food item
RDA.minrls_FG_ratio,Share of mineral nutrients by food group
RDA.minrls_FG_reqRatio,Share of mineral nutrients RDA by food group
RDA.minrls_staples_ratio,Share of mineral nutrients from staples
RDA.minrls_staples_reqRatio,Share of mineral nutrients RDA by staple
RDA.minrls_staples_sum,Total availability of mineral nutrients by staple
RDA.minrls_sum_reqRatio,Share of mineral nutrient availability to RDA
RDA.vits_all_ratio,Share of vitamin availability by food item
RDA.vits_all_reqRatio,Share of vitamin RDA by food item
RDA.vits_all_sum,Availability of vitamins by food item
RDA.vits_FG_ratio,Share of vitamins by food group
RDA.vits_FG_reqRatio,Share of vitamins RDA by food group
RDA.vits_staples_ratio,Share of vitamins from staples
RDA.vits_staples_reqRatio,Share of vitamins RDA by staple
RDA.vits_staples_sum,Total availability of vitamins by staple
RDA.vits_sum_reqRatio,Share of vitamin availability to RDA
